ID	ENGLISH	OCCURRENCE	CONCEPT_IN_SOURCE	FORMS	PHRASE	GLOSS
11	seek	43	seek	meʴʐ // meʴʐə	χaiʂə tɕɑ-lə nə meʴʐ-kəi,	†(still.is) where-LOC sleep seek-NAR
12	this manner	28	this.manner	tsəi	ɦɑ-tsəi-ȵike,	INT-this.manner-after
13	become	28	become // become:PRS	pe // pɑ:	zəp-le: ȵi-ke: pe-ji qeʴlotʂu-ʁɑ,	earth-DEF:CL WH-INDEF:CL become-CSM in.the.past-LOC
14	Thɑnkhemu	26	Thɑnkhemu	thɑnkhemu	ɦɑ-tu “ʐmə-ŋuəȵi thɑnkhemu ə-ʂpə-n-pɑ,”	INT-RESULT name-TOP Thɑnkhemu DIR-call-2sg-DTV
15	that // one	26	that:one // that:one:CL	thou // thɑ	thɑ-χsɑ i-pə-l-ku-tu,	that:one-few DIR-arrive-come-NAR-LNK
16	son	25	son	tʂi	juɑnʁuɑi.109) ɦɑ-tu satʂů-te:-tɕ-tʂi-le:-ŋuəȵi tʂi ou ʐi-kui,	emperor INT-RESULT younger.sister-DEF:CL-GEN-man-DEF:CL-TOP son one:CL exist-NAR
17	cry	24	cry	zei	zei ɦe-zei-ȵi kə-kəpə-kəi-tɕu,	cry DIR-cry-ADV go-HABIT-NAR-PART
18	what	27	what	ȵi: // ȵiɣi	qusɑp-te:-wu “a ʔũ ȵiɣi-pe-wɑ?	scissors-DEF:CL-AGT EXCL 2sg what-become-Q
19	want	26	want	tɕhe // tɕhi	ʐmə tɕhe-tɕ ʐguə i-ɸi-ji.	humankind want-GEN grain DIR-plant-CSM
20	ask	21	ask	keʴl	χa-le:-wu tə-keʴl-kui-tɕu,	needle-DEF:CL-AGT DIR-ask-NAR-PART
21	Likhemu	21	Likhemu	likhemu	ɦɑ-tu thɑnkhemu ȵɑ likhemu jə-ze wu tʂi pe-kui,	INT-RESULT Thɑnkhemu COM Likhemu two-CL all son become-NAR
22	this // one	22	this:one // this:one:CL	tsou // tsɑ	ɦɑ-tsɑ-tɑu ŋuə-tu,	INT-this:one-time COP-LNK
23	arrive	20	arrive	pə // tɑulə	themle zəpəq-tɑ i-pə-l-ȵike,	3pl earth-LOC DIR-arrive-come-after
24	eat	28	eat // eat:PRS	dze // dzi // dzɑ: // dzə // tɕhə // zə	tu ɦɑlɑ ʂkup-le:-ŋuəȵi ɦɑ-tsu kɑpətʂ tou dzə kɑntɕhi-kui-tɕu,	RESULT INT orangutan-DEF:CL-TOP INT-here orphan DEF:one:CL eat think/want-NAR-PART
25	other	17	other	nai	nai tshəmɑ we-tɕ səɸ-zu xsə-quɑt de-tɕi-le-wei,	other thorn exist-GEN tree-seed three-bushel DIR-CON-give-HS
26	1pl	23	1pl // CAUS:PRS:1pl // COP:1pl // PRS:1pl	tɕile // ŋueʴ // ɑ:ʴ // ʐɑ:? // ʔile	tɕile tsɑ-χsəʴwu gul-pɑ-ʂ,	1pl this:one-few:all companion-do-LNK
27	come	85	come // come:PRS	l // lu // lů // lɑ // lɑ: // lə	tɕetɕi-lɑ-wu mufů tə-lɑ-ji,	everywhere-LOC-ABL smoke DIR-come-CSM
28	find	19	find	tɕ // tɕi // tɕə	tə-meʴʐ-ȵi dɑ-tɕ-kə-kui,	DIR-seek-ADV DIR-find-go-NAR
29	able	32	able	dʐə // l // lə // the // ɣʐə	thizzi zɑ-ʁə bəl-dʐə-wa-χuɑ-ȵi,	3dl earth-LOC do-able-very-because-ADV
30	3sgREFL	16	3sgREFL	ȵi: // ȵiȵi	ȵi:-ŋuəȵi ɦɑ steke steke ɦe-zei ɦe-zei ɦe-zei-ke: tse:-steke dɑ-qə-kəi-stũ.	3sgREFL-TOP INT behind behind DIR-cry DIR-cry DIR-cry-INDEF:CL this:CL-behind DIR-go-NAR-PART
31	Chen family	14	Chen.family	tshəntɕɑ	tshəntɕɑ qɑpə qeʴ ŋuə-tu,	Chen.family old.man long.ago COP-LNK
32	because	14	because	le // χuɑ	zuɑmə-ɸu o-ʐgu-tɑ i-pi-χuɑ-ȵi,	cypress-tree one-CL-LOC DIR-hide-because-ADV
33	before	16	before	qe:ʴ // qeʴ // qə:ʴ // tɕiqə:ʴ	thizzi-ŋuəȵi qe:ʴ-tɑ ɑpə mupithɑ thizzi oqpi pə-ʐ mo-ʁu-χuɑ-ȵi,	3dl-TOP before-LOC god Mupitha 3dl one:family do-CAUS NEG-willing-because-ADV
34	this // family	13	this:family	tsoqpi	ɦɑ-tu tsoqpi phɑwu-le: tɕymi-le:,	INT-RESULT this:family older.sister-DEF:CL child-DEF:CL
35	exist	97	exist // exist:PRS	l // le // le: // w // we // we̊ // xu // ʂə // ʐa: // ʐi // ʐi? // ʐə	mutu-lɑ mujuqů ʐguə-zi we-i,	heaven-LOC sun nine-CL exist-HS
36	encounter	12	encounter	tʂepe	χa-le:-ȵɑ e-tʂepe-kəi-tɕu.	needle-DEF:CL-COM DIR-encounter-NAR-PART
37	companion	12	companion	gul	maha-ȵi-ŋuəȵi qɑ ʔũ-gul zu-lu-ɑ:-wɑ,”	night-ADV-TOP 1sg 2sg-companion DIR-come-1sg:PRS-EMPH
38	that	15	that	the // thɑ // thə // ɦɑlɑ	ɦɑ-the-wu χaiʂə ɦe-zei ɦe-zei-ȵi dɑ-qə-jə ɦe-zei ɦe-zei-ȵi dɑ-qə-jə-kəi-tu,	INT-that-ABL †(still.is) DIR-cry DIR-cry-ADV DIR-go-REP DIR-cry DIR-cry-ADV DIR-go-REP-NAR-LNK
39	where	15	where // where:LOC	tɕɑ // tɕɑ: // tɕɑl	χa-le:-ŋuəȵi tɕɑ-lə je-s ŋuə,	needle-DEF:CL-TOP where-LOC live/stay-NOM COP
40	person	12	person	mi	mi tɕiquɑ-lɑ-ŋuəȵi tɕy-le:-ŋuəȵi ʁoi-kə-m he-ɕi-kui-stũ.	person inside-LOC-TOP chicken-DEF:CL-TOP call-go-NOM DIR-send-NAR-PART
41	old man	14	old.man	qɑpɑ // qɑpə	qɑpə-lɑ-hɑ ɦɑ-tsəi-ŋuəȵi,	old.man-DEF:one-pl INT-this.manner-TOP
42	husband	12	husband	wutɕupu	sawu-le: wutɕupu-ŋuəȵi ʐmətʂi.	older.sister-DEF:CL husband-TOP emperor
43	die	12	die	ʂe	χuopɑu ŋuə-ʂə ɦe-ʂue-ȵi ɑ-ʂpɑ-lɑ die-ʂe-kə ʁu.”	live.treasure COP-LNK DIR-be.hungry-ADV one-place-LOC DIR-die-INF may
44	two	14	DEF:two:CL // INDEF:two:CL // two	jə // kəzzi // ləzzi	mə ȵɑ ɣlu jə-tʂ-ŋuəȵi,	older.brother COM younger.sister two-CL-TOP
45	pl	13	pl	hɑ // ɣle // ɣlə	e-tʂequɑ de-tshe-ȵi lu-zu-lɑ-hɑ ʁopu ti-wi-s-tɑ de-se-ku,	DIR-remember DIR-wrong-ADV China.fir-seed-DEF:one-pl mountain DIR-high-NOM-LOC DIR-sow-NAR
46	orangutan	16	orangutan	skup // ʂku // ʂkup	tu ɦɑlɑ ʂkup-le:-ŋuəȵi ɦɑ-tsu kɑpətʂ tou dzə kɑntɕhi-kui-tɕu,	RESULT INT orangutan-DEF:CL-TOP INT-here orphan DEF:one:CL eat think/want-NAR-PART
47	afraid	12	afraid	qu // ququ	“qɑ tɕəu-lɑ o-zů-ȵi qɑ ou-stu je qu-ɑ-wɑ,”	1sg home-LOC DIR-sit-ADV 1sg one:CL-alone live/stay afraid-1sg-EMPH
48	snake	11	snake	bəs	upu bəs i-tse,	uncle snake DIR-look
49	allow	13	allow	se // si // si?	ɦɑlɑ “sənʐə bələ-ŋuəȵi ɦe-me-se” jə-kui.	INT birthday do-TOP DIR-NEG-allow say-NAR
50	do	40	do // do:PRS	bəl // bələ // p // pu // pů // pɑ // pɑ: // pə // zuo	ȵizzi oqpi pə-s,	3dl one:family do-NOM
51	three	11	three	sɑn // xsə	ɑpə-xsə-ŋuəȵi themle lu-zu xsə-quɑt de-l-wei,	father-god-TOP 3pl China.fir-seed three-bushel DIR-give-HS
52	behind	13	behind	steke // wəstɑ	ɑ-stu-χɑn phuxʂu-ŋuəȵi themle-steke ɑ-dzɑ-ʐ-ȵi.	one-thousand-kind wild.creatures-TOP 3pl-behind DIR-follow-CAUS-ADV
53	LNK(as soon as)	10	LNK(as.soon.as)	ȵiɑufu	gəs-ȵi ɦɑ-xtʂəp-ȵiɑufu ʂkup-le: qɑ dzə-lɑ:,”	night-ADV DIR-get.dark-LNK(as.soon.as) orangutan-DEF:CL 1sg eat-come:PRS
54	wife	10	wife	sətsim	qɑ the:-sətsim hɑ-ŋ̥u̥ə-lɑ,”	1sg 3sg-wife DIR-COP-INDTV:1sg
55	dream	10	dream	ʐmu	u-ʐmu-ȵi i-tʂi-ʐ dʐə,	DIR-dream-ADV DIR-represent-CAUS able
56	seven	11	seven	ɕtɕi // ɕtɕə	ə-tin-thɑ-jantɕi ɦɑlɑ ɕtɕə-s ə-ʂ-kəi,	DIR-set-AUX-after INT seven-day DIR-put-NAR
57	look	15	look	l // lə // tse	“ʔile gue:ʴ-tɑ-ŋuəȵi hɑ-l-ȵi mutu-lɑ tɕe-tse-ʂu.”	2pl road-LOC-TOP DIR-look-ADV heaven-LOC NEG.IMP-look-DTV
58	here	15	here	tsu // tsɑ // tsə	tu ɦɑlɑ ʂkup-le:-ŋuəȵi ɦɑ-tsu kɑpətʂ tou dzə kɑntɕhi-kui-tɕu,	RESULT INT orangutan-DEF:CL-TOP INT-here orphan DEF:one:CL eat think/want-NAR-PART
59	home	11	home	tɕiu // tɕəu	tɕəu-lɑ kə ʁza-ʁɑ,	home-LOC go when-LOC
60	mama	9	mama	mɑ:	mɑ:-le: hɑ-lə-kui-stũ.	mama-DEF:CL DIR-come-NAR-PART
61	drink	16	drink	tɕ // tɕh // tɕhi // tɕhə	χaiʂə ɦɑlə sə-ʁ-ȵi ɕi sə-tɕ-ȵi nu-lu-kəpə-kəi,	†(still.is) INT DIR-go-ADV wine DIR-drink-ADV DIR-come-HABIT-NAR
62	lion	9	lion	sin	ɦɑlɑ gue:ʴ-guχu-lɑ xsə-tɕi-le:-ʁɑ sin-le:-tɑ ɦɑ-l-ȵi ʐi-kui-wɑ,	INT road-upper.part-LOC god-house-DEF:CL-LOC lion-DEF:CL-LOC DIR-look-ADV exist-NAR-EMPH
63	if	11	if	ta // tu // wu // ʁɑ	“ʔizzi zəpəq-tɑ ɦa-ʁa-i-ta ɦɑ-ʁə-i.”	2dl earth-LOC DIR-go-2pl-if DIR-go-2pl
64	think/want	9	think/want	kɑntɕhi // kɑntɕi:	tu ɦɑlɑ ʂkup-le:-ŋuəȵi ɦɑ-tsu kɑpətʂ tou dzə kɑntɕhi-kui-tɕu,	RESULT INT orangutan-DEF:CL-TOP INT-here orphan DEF:one:CL eat think/want-NAR-PART
65	new(again)	8	new(again)	xsə	χaiʂə xsə ɕtɕiɕtɕiɑq tou-ȵɑ e-tʂepe-kə-jə-kei-tɕu,	†(still.is) new(again) magpie DEF:one:CL-COM DIR-encounter-go-REP-NAR-PART
66	today	8	today	pəs	pəs lə ɦɑ-xtʂəp-ja,	today also DIR-get.dark-REP
67	door	8	door	dʑy	χa-le:-ŋuəȵi ɦɑlɑ dʑy-le:-ʁɑ ə-tʂə-ȵi ɦɑlɑ dʑy-le:-ʁɑ ʐi-kəi,	needle-DEF:CL-TOP INT door-DEF:CL-LOC DIR-stab-ADV INT door-DEF:CL-LOC exist-NAR
68	beside	8	beside	pienɑ	qusɑp-tou-ŋuəȵi ɦɑlɑ kɑpətʂ-tou-pienɑ-lɑ nəʂ-te:-pienɑ thɑ ɦɑ-nə-kəi,	scissors-DEF:one:CL-TOP INT orphan-DEF:one:CL-beside-LOC bed-DEF:CL-beside there DIR-sleep-NAR
69	uncle	8	uncle	upu	upu bəs i-tse,	uncle snake DIR-look
70	send	8	send	ɕi	tɕiquɑ-lɑ hɑ-lə-ȵi ɦɑlɑ tɕiquɑ-lɑ ʁoi-kə-m he-ɕi-kui-tɕu.	inside-LOC DIR-come-ADV INT inside-LOC call-go-NOM DIR-send-NAR-PART
71	uncle’s wife	8	uncle’s.wife	entɕi	“entɕi qutaq.	uncle’s.wife (sound.of.chicken)
72	dog	8	dog	khuə	xsə khuə-le: hɑ-lə-jə-kui-stũ.	new(again) dog-DEF:CL DIR-come-REP-NAR-PART
73	older sister	11	older.sister	phɑwu // sawu	sawu-le:-tɕ-te:-ŋuəȵi tɕiuʂə,	older.sister-DEF:CL-GEN-DEF:CL-TOP †(that.is)
74	lose	8	lose	ɣʐu	“poquʂ-ŋuəȵi do-ɣʐu-n-tu,	livestock-TOP DIR-lose-2sg-LNK
75	man eating demon	15	man.eating.demon	jautsan // jɑutsan	ɦɑ-tu jɑutsan-le: ŋuə-kəi,	INT-RESULT man.eating.demon-DEF:CL COP-NAR
76	year	7	year	p	ə-jə-p pe-ȵi,	one-two-year become-ADV
77	needle	7	needle	χa	χa-le:-ȵɑ e-tʂepe-kəi-tɕu.	needle-DEF:CL-COM DIR-encounter-NAR-PART
78	make sound	12	make.sound	s116 // sɑ // sɑ115 // sə	ɦɑ kɑpətʂ tou hɑ-sə-kəi-ʂə,	INT orphan DEF:one:CL DIR-make.sound-NAR-LNK
79	stomach	7	stomach	χsutsqhɑ	χsutsqhɑ-le:-ȵɑ e-tʂepe-kəi,	stomach-DEF:CL-COM DIR-encounter-NAR
80	hold	9	hold	ge // tsu // tʂu	ʐmə ɑ-lɑ ɦo-tsu-kəi,	meeting one-CL DIR-hold-NAR
81	then)	7	†(then)	tɕiu	tu the-maha-ŋuəȵi tɕiu ʂəʂe:ʴwu ȵiɑntɕi gɑnphai-tu-pů-kəi-stu,	RESULT that-night-TOP †(then) exist:REDUP:all together arrange-DIR-do-NAR-PART
82	sleep	7	sleep	nə	tɕɑ-lə tɕɑ-lə nə-s ŋuə,	where-LOC where-LOC sleep-NOM COP
83	water	7	water	tsə	tsə-lo-qu ŋuə-ȵiantɕi,	water-DEF:one-CL COP-after
84	learn	7	learn	su	qɑ-ŋuəȵi pəs-ŋuəȵi pənsə ɑ-χən u-su-ɑ-wɑ,”	1sg-TOP today-TOP ability one-kind DIR-learn-1sg-EMPH
85	tether	7	tether	ʑdʑy	ʐbə-ŋuəȵi xsə-zi zə-p-ȵi tɕaʁa-lɑ ɦɑ-ʑdʑy-ȵi ʐi-ʐə-kui-tɕu.	yak-TOP three-CL DIR-buy-ADV cowpen-LOC DIR-tether-ADV exist-CAUS-NAR-PART
86	relieve oneself	7	relieve.oneself	sei	mɑutshɑ sei-jə-kə hɑ-qə-kəi-tu.	toilet relieve.oneself-REP-go DIR-go-NAR-LNK
87	row	7	row	χtʂ	ʁɑ-ŋuəȵi tə-tʂhɑtʂ ŋuəȵi ɕtɕə-χtʂ,	roof.tile-TOP DIR-vertically TOP seven-row
88	Huang	7	Huang	χuɑn	ɦɑ-tsə χuɑn tɕhiɑnmeʴ ɦɑ-tse:-ŋuəȵi,	INT-this Huang Qianmen INT-this:CL-TOP
89	Qianmen	7	Qianmen	tɕhiɑnmeʴ	ɦɑ-tsə χuɑn tɕhiɑnmeʴ ɦɑ-tse:-ŋuəȵi,	INT-this Huang Qianmen INT-this:CL-TOP
90	Dʑemi	7	Dʑemi	dʑemi	tshəntɕɑ qɑpə-ŋuəȵi qe:ʴ jitɕin jautsan dʑemi pe-m-le:-wu ʂpəl ȵɑ ɕtɕi:mi ha-xtʂe-ȵi jitɕin the-xʂepi-ʁɑ ə-ʁɑ-s-tɑ ɦɑlɑ tə-pian-thɑ-kəi,	Chen.family old.man-TOP before †(already) man.eating.demon Dʑemi become-NOM-DEF:CL-AGT kidney COM heart DIR-take.out-ADV †(already) that-side-LOC DIR-go-NOM-LOC INT DIR-change-AUX-NAR
91	mountain	10	mountain	ʁopu // ʁu	ʁu-q-tɑ-wu ɦo-ɣlu,	mountain-head-LOC-ABL DIR-roll
92	after	27	after	jantɕi // jɑntɕi // ȵiantɕi // ȵike // ȵiɑntɕi	ɦɑ-tsəi-ȵike,	INT-this.manner-after
93	2pl	17	2pl	i // j // ji // tɕile // ʔile	“ʔizzi zəpəq-tɑ ɦa-ʁa-i-ta ɦɑ-ʁə-i.”	2dl earth-LOC DIR-go-2pl-if DIR-go-2pl
94	god	7	god	xsə // ɑpə	ɑpə-xsə-ŋuəȵi themle lu-zu xsə-quɑt de-l-wei,	father-god-TOP 3pl China.fir-seed three-bushel DIR-give-HS
95	road	6	road	gue:ʴ	“ʔile gue:ʴ-tɑ-ŋuəȵi hɑ-l-ȵi mutu-lɑ tɕe-tse-ʂu.”	2pl road-LOC-TOP DIR-look-ADV heaven-LOC NEG.IMP-look-DTV
96	scissors	6	scissors	qusɑp	ɦɑlɑ qusɑp-te:-ȵɑ e-tʂepe-kəi-tɕu,	INT scissors-DEF:CL-COM DIR-encounter-NAR-PART
97	crow	6	crow	noʁu	ɦɑlɑ noʁu-le:-ȵɑ e-tʂepe-kəi-tɕu,	INT crow-DEF:CL-COM DIR-encounter-NAR-PART
98	stone pestle	6	stone.pestle	thəl	dɑ-qɑ dɑ-qɑ-tu ɦɑlɑ thəl-le:-ȵɑ e-tʂepe-kəi-stu,	DIR-go DIR-go-LNK INT stone.pestle-DEF:CL-COM DIR-encounter-NAR-PART
99	run away	6	run.away	ɸu	ɦɑlɑ sɑq tuetue-ke:-tɕi du-ɸu-ȵi hɑ-ʁ kɑntɕhi-kəi,	INT blood driping-INDEF:CL-ADV DIR-run.away-ADV DIR-go think/want-NAR
100	throw	7	throw	ʁu // ʁů	ɦɑ-tsu ʂkup-te:-ŋuəȵi ȵi-qəti-ȵi da-ʁu-kui-wɑ.	INT-here orangutan-DEF:CL-TOP DIR-beat.to.death-ADV DIR-throw-NAR-EMPH
101	lazy	6	lazy	lɑn	lɑn-thə-m ke: məʴʂ qe:ʴ-qe:ʴ ŋuə-tu,	lazy-AUX-NOM INDEF:CL story before-before COP-LNK
102	ability	6	ability	pənsə	qɑ-ŋuəȵi pəs-ŋuəȵi pənsə ɑ-χən u-su-ɑ-wɑ,”	1sg-TOP today-TOP ability one-kind DIR-learn-1sg-EMPH
103	bamboo tube	7	bamboo.tube	ʂputhuʂ // ʂpəthuʂ	ʂputhuʂ lou tɕy-kəi-tu,	bamboo.tube DEF:one:CL carry-NAR-LNK
104	army	6	army	gueʴ	thoqpi-ŋuəȵi hɑ-qə-ȵi ȵi:-tɕ ɦɑlɑ gueʴ-ȵɑ thɑ-hɑn he-ɕi-ȵi tə-meʴʐ-s-tɑ,	that:family-TOP DIR-go-ADV 3sgREFL-GEN INT army-COM that:one-kind DIR-put-ADV DIR-seek-NOM-LOC
105	male/son	6	male/son	tʂi	tshəntɕɑ qɑpə-tɕ tʂi-ŋuəȵi tshəntitɕhən,	Chen.family old.man male/son-TOP Chen.Diqing
106	sword and bow	6	sword.and.bow	kuɑntɑusəje	ɦɑ-tu “the: maha-ŋuəȵi tshəntɕɑ qɑpɑ ȵɑ tshəntitɕhin-tɕə kuɑntɑusəje,	INT-RESULT 3sg night-TOP Chen.family old.man COM Chen.Diqing-GEN sword.and.bow
107	willing	5	willing	ʁu	thizzi-ŋuəȵi qe:ʴ-tɑ ɑpə mupithɑ thizzi oqpi pə-ʐ mo-ʁu-χuɑ-ȵi,	3dl-TOP before-LOC god Mupitha 3dl one:family do-CAUS NEG-willing-because-ADV
108	tonight	5	tonight	pəmaha	pəmaha-ŋuəȵi qɑ gul lɑ-hɑ i-pə-l-jy,	tonight-TOP 1sg companion DEF:one-pl DIR-arrive-come-ASP
109	plank stairs	5	plank.stairs	buzd	χsutsqhɑ-le:-ŋuəȵi buzd-te:-qəpɑtʂɑ: ɦɑ-nə-kui-tɕu,	stomach-DEF:CL-TOP plank.stairs-DEF:CL-head:LOC DIR-sleep-NAR-PART
110	hand	10	hand	japə // jɑpə // jɑpəq // jəpɑ	χa-lɑ-hɑ jɑpə-le:-tɑ ə-tʂə-ȵiɑufu sɑq-phi-ke: ə-ʂə-kui-tɕu,	needle-DEF:one-pl hand-DEF:CL-LOC DIR-stab-LNK(as.soon.as) blood-flow-INDEF:CL DIR-put-NAR-PART
111	understand	5	understand	χsɑ	thou tə-χsɑ mɑ-ɣʐə-kəi-ʂə,	that:one:CL DIR-understand NEG-able-NAR-LNK
112	wine	5	wine	ɕi	tɕiquɑ-lɑ upu-bəs-lɑ-hɑ-ŋuəȵi ɕi tʂhe107-kəi-stũ.	inside-LOC uncle-snake-DEF:one-pl-TOP wine suck-NAR-PART
113	hear	7	hear	m // mə // xʂuɕtɕu	ɦɑ-kə ə-m,	INT-thus DIR-hear
114	knowledge	5	knowledge	dʐuků	ȵi: lə dʐuků-le:-kə-ʂ,	3sgREFL also knowledge-exist-INF-LNK
115	roof tile	5	roof.tile	ʁɑ	ʁɑ-ŋuəȵi ɦɑ-thɑ mɑutshə-le:-qu-tɑ ʁɑ sə-ʑdʑy la:-ʁɑ ɦɑ-thɑ ʐi-kui-wɑ.	roof.tile-TOP INT-there toilet-DEF:CL-top-LOC roof.tile DIR-put DEF:one:CL-LOC INT-there exist-NAR-EMPH
116	stand	6	stand	jů // tɕhi	qɑ tu-jů-ȵi tu-jů.	1sg DIR-stand-ADV DIR-stand
117	bamboo	5	bamboo	ʂpə	ʁəʴ-tɑ-ŋuəȵi kaijuɑn-ʁɑ ʂpə me-we-m me-ʐi,	Han.person-DAT-TOP †street.edge-LOC bamboo NEG-exist-NOM NEG-exist
118	daughter	5	daughter	tsi	qɑ-tsi-le:-ŋuəȵi,	1sg-daughter-DEF:CL-TOP
119	kill	8	kill // kill:PRS	qəti // qətia: // q̥əti // tʂən	jɑutsan-le:-ŋuəȵi gəz nə-qəti-kui.	man.eating.demon-DEF:CL-TOP strangle(n.) DIR-kill-NAR
120	older brother	5	older.brother	mə // tuwɑ	mə ȵɑ ɣlu jə-tʂ-ŋuəȵi,	older.brother COM younger.sister two-CL-TOP
121	younger sister	15	younger.sister	satʂu // satʂů // ɣlu	mə ȵɑ ɣlu jə-tʂ-ŋuəȵi,	older.brother COM younger.sister two-CL-TOP
122	3pl	8	3pl	themle // tɕi // tɕə	mə ȵɑ ɣlu lə-zi i-dʐi-tɕi,	older.brother COM younger.sister DEF-CL DIR-discuss-3pl
123	everywhere	4	everywhere	tɕetɕi	duɑʁl-le:-wu sə-xte-ȵi tɕetɕi-lɑ da-ʁů.	scythe-DEF:CL-INST DIR-chop-LNK everywhere-LOC DIR-throw(away)
124	seed	4	seed	zu	ɑpə-xsə-ŋuəȵi themle lu-zu xsə-quɑt de-l-wei,	father-god-TOP 3pl China.fir-seed three-bushel DIR-give-HS
125	thorn	4	thorn	tshəmɑ	nai tshəmɑ we-tɕ səɸ-zu xsə-quɑt de-tɕi-le-wei,	other thorn exist-GEN tree-seed three-bushel DIR-CON-give-HS
126	now	5	now	pitɕ // pitɕi	pitɕ phu-ʁɑ ʐi-m phuxʂu pe-wei.	now forest-LOC exist-NOM wild.animals become-HS
127	night	19	night	gəs // jə // maha	kɑpətʂ tou gəs-tɑ ɦɑ-xtʂə-pɑ:-jə-tu qu-kəpə-kəi-ʂ,	orphan DEF:one:CL night-LOC DIR-get.dark-become:PRS-REP-LNK ɦe-afraid-HABIT-NAR-LNK
